country,date_year,scientificNameID,scientificName,superfamilyid,county,dropped,fieldNumber,aphiaID,decimalLatitude,subclassid,phylumid,familyid,catalogNumber,basisOfRecord,modified,maximumDepthInMeters,id,order,dataset_id,locality,stateProvince,decimalLongitude,collectionCode,date_end,speciesid,occurrenceID,superfamily,date_start,genus,dateIdentified,eventDate,absence,subfamily,genusid,originalScientificName,marine,minimumDepthInMeters,subfamilyid,infraclassid,institutionCode,date_mid,infraclass,identifiedBy,class,orderid,kingdom,waterBody,specificEpithet,recordedBy,classid,phylum,lifeStage,species,subclass,family,kingdomid,node_id,flags,sss,shoredistance,sst,bathymetry,references,year,occurrenceStatus,terrestrial,bibliographicCitation,brackish,scientificNameAuthorship,typeStatus,geodeticDatum,datasetID,depth,subphylumid,locationRemarks,subkingdom,associatedMedia,subkingdomid,subphylum,subterclassid,subterclass,superorder,superorderid,tribeid,tribe,suborderid,suborder,infraorderid,verbatimLocality,month,eventID,infraorder,datasetName,namePublishedIn,higherGeography,taxonomicStatus,infraspecificEpithet,dynamicProperties,individualCount,associatedReferences,day,preparations,coordinateUncertaintyInMeters,taxonRank,footprintWKT,previousIdentifications,subgenus,subgenusid,taxonRemarks,recordNumber,eventRemarks,coordinatePrecision
Argentina,2009,urn:lsid:marinespecies.org:taxname:145984,Ulva lactuca,NA,Mar del Plata,FALSE,M5 1x1 09,145984,-38.021305,NA,801,143794,ArgentinaBuenos AiresMar del PlataPlaya ChicaMT5200938275,HumanObservation,2010-04-26T00:00:00Z,NA,030c03b9-f5bd-4876-8d03-eb837b4ea79c,Ulvales,0c59dc30-4b06-4572-addc-155042f81fd0,Playa Chica,Buenos Aires,-57.527444,NaGISA,1236470400000,145984,NaGISA-29747,NA,1236470400000,Ulva,2009,2009-03-08,FALSE,NA,144296,Ulva lactuca,TRUE,NA,NA,NA,Laboratorio de Ecosistemas Costeros,1236470400000,NA,María Bagur,Ulvophyceae,827,Plantae,Atlantic,lactuca,"Palomo G.,Bagur M.,Arribas L.",146216,Chlorophyta,NA,Ulva lactuca,NA,Ulvaceae,3,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-33,15.21,-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1304953,NA,Viridiplantae,NA,368663,Chlorophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2008,urn:lsid:marinespecies.org:taxname:334894,Syllis prolixa,NA,Mar del Plata,FALSE,M5 25x25,334894,-38.021305,754174,882,948,ARG375,HumanObservation,2009-07-29T00:00:00Z,NA,034effde-07f0-40a7-8241-873f9139416c,Phyllodocida,0c59dc30-4b06-4572-addc-155042f81fd0,Playa Chica,Buenos Aires,-57.527444,NaGISA,1205539200000,334894,NaGISA-25821,NA,1205539200000,Syllis,2008,2008-03-15,FALSE,Syllinae,129680,Syllis prolixa,TRUE,NA,152223,NA,Laboratorio de Ecosistemas Costeros,1205539200000,NA,María Bagur,Polychaeta,892,Animalia,Atlantic,prolixa,"Palomo G.,Bagur M.,Arribas L.,Brogger T.,Lauretta D.",883,Annelida,adults,Syllis prolixa,Errantia,Syllidae,2,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-33,15.21,-30,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2010,urn:lsid:marinespecies.org:taxname:533427,Siphonaria lessonii,382225,NA,FALSE,Ar-Ba-Mp-Pg-M8,533427,-38.02466,14712,51,23118,NA,HumanObservation,NA,NA,04510573-b2c0-4898-b2a2-b9e8012507ed,Siphonariida,81db945e-d319-4237-b49e-cd3e78937393,Mar del Plata,Buenos Aires,-57.52817,NA,1280275200000,533427,Ar-Ba-Mp-Pg-Ba-8-126,Siphonarioidea,1280275200000,Siphonaria,NA,2010-07-28,FALSE,NA,138489,Siphonaria lessonii,TRUE,NA,NA,1057247,NA,1280275200000,Euthyneura,NA,Gastropoda,1057459,Animalia,Atlantic Ocean,NA,GPalomo,101,Mollusca,NA,Siphonaria lessonii,Heterobranchia,Siphonariidae,2,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-10,15.21,-30,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midtide,NA,2458,NA,NA,1057250,Tectipleura,Siphonarimorpha,1057458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2008,urn:lsid:marinespecies.org:taxname:145984,Ulva lactuca,NA,Mar del Plata,FALSE,A2 50x50,145984,-38.021305,NA,801,143794,ARG384,HumanObservation,2009-07-29T00:00:00Z,NA,04a6c6c7-3c2f-4536-adce-a44126227237,Ulvales,0c59dc30-4b06-4572-addc-155042f81fd0,Playa Chica,Buenos Aires,-57.527444,NaGISA,1205452800000,145984,NaGISA-17792,NA,1205452800000,Ulva,2008,2008-03-14,FALSE,NA,144296,Ulva lactuca,TRUE,NA,NA,NA,Laboratorio de Ecosistemas Costeros,1205452800000,NA,María Bagur,Ulvophyceae,827,Plantae,Atlantic,lactuca,"Palomo G.,Bagur M.,Arribas L.,Brogger T.,Lauretta D.",146216,Chlorophyta,NA,Ulva lactuca,NA,Ulvaceae,3,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-33,15.21,-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1304953,NA,Viridiplantae,NA,368663,Chlorophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2010,urn:lsid:marinespecies.org:taxname:145651,Ahnfeltiopsis devoniensis,NA,NA,FALSE,Ar-Ba-Mp-Pc-M1,145651,-38.0213,196243,852,143738,NA,HumanObservation,NA,NA,0505dd1f-34ce-47be-b0c4-b1364abca53a,Gigartinales,81db945e-d319-4237-b49e-cd3e78937393,Mar del Plata,Buenos Aires,-57.5274,NA,1280188800000,145651,Ar-Ba-Mp-Pc-Ba-1-1,NA,1280188800000,Ahnfeltiopsis,NA,2010-07-27,FALSE,NA,144164,Ahnfeltiopsis devoniensis,TRUE,NA,NA,NA,NA,1280188800000,NA,NA,Florideophyceae,871,Plantae,Atlantic Ocean,NA,GPalomo,368670,Rhodophyta,NA,Ahnfeltiopsis devoniensis,Rhodymeniophycidae,Phyllophoraceae,3,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-29,15.21,-30,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,493826,Midtide,Biliphyta,2392,368662,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Pitar rostratus,14638,NA,FALSE,NA,533304,-38,1424948,51,243,CNP-MARINEINVER-1281,Occurrence,2015-09-01T09:17:00Z,NA,054b44e8-88e2-4adc-b6ea-83f8350e8c6c,Venerida,b1f8bc4c-5427-40c8-8728-aad4d463b944,Costa de Mar del Plata,NA,-57.5,CNP-MARINEINVER,NA,533304,urn:catalog:CENPAT-CONICET:CNP-MARINEINVER:CNP-MARINEINVER-1281,Veneroidea,NA,Pitar,NA,NA,FALSE,NA,138644,Pitar rostratus,TRUE,NA,NA,1424949,CENPAT-CONICET,NA,Heteroconchia,NA,Bivalvia,217,Animalia,NA,NA,NA,105,Mollusca,NA,Pitar rostratus,Autobranchia,Veneridae,2,464a96d8-c17e-4bbb-b6b8-778e1fb687c4,no_depth,32.67,2787,15.21,13,NA,NA,NA,NA,"Rivero, M.S., Elias, R. & Vallarino, E.A., 2005. First survey of macroinfauna in the Mar del Plata Harbor (Argentina), and the use of polychaetes as pollution i [...]",NA,"(Koch, 1844)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382296,Euheterodonta,Imparidentia,869600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2008,urn:lsid:marinespecies.org:taxname:129337,Lumbrineris,NA,Mar del Plata,FALSE,M1 25x25,129337,-38.021305,754174,882,967,ARG289,HumanObservation,2009-07-29T00:00:00Z,NA,055fd52e-c83b-4830-9275-c835034b73d9,Eunicida,0c59dc30-4b06-4572-addc-155042f81fd0,Playa Chica,Buenos Aires,-57.527444,NaGISA,1205452800000,NA,NaGISA-33834,NA,1205452800000,Lumbrineris,2008,2008-03-14,FALSE,NA,129337,Lumbrineris,TRUE,NA,NA,NA,Laboratorio de Ecosistemas Costeros,1205452800000,NA,María Bagur,Polychaeta,895,Animalia,Atlantic,NA,"Palomo G.,Bagur M.,Arribas L.,Brogger T.,Lauretta D.",883,Annelida,adults,NA,Errantia,Lumbrineridae,2,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-33,15.21,-30,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2008,urn:lsid:marinespecies.org:taxname:367978,Brachidontes rodriguezii,491766,Mar del Plata,FALSE,A2 1x1,367978,-38.021305,1424948,51,211,ARG433,HumanObservation,2009-07-29T00:00:00Z,NA,059a26bb-3355-4c0d-aeef-73b66765d040,Mytilida,0c59dc30-4b06-4572-addc-155042f81fd0,Playa Chica,Buenos Aires,-57.527444,NaGISA,1205452800000,367978,NaGISA-29752,Mytiloidea,1205452800000,Brachidontes,2008,2008-03-14,FALSE,Brachidontinae,138215,Brachidontes rodriguezii,TRUE,NA,510720,206,Laboratorio de Ecosistemas Costeros,1205452800000,Pteriomorphia,María Bagur,Bivalvia,210,Animalia,Atlantic,rodriguezii,"Palomo G.,Bagur M.,Arribas L.,Brogger T.,Lauretta D.",105,Mollusca,juvenils and adults,Brachidontes rodriguezii,Autobranchia,Mytilidae,2,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-33,15.21,-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2010,urn:lsid:marinespecies.org:taxname:533427,Siphonaria lessonii,382225,NA,FALSE,Ar-Ba-Mp-Pc-M4,533427,-38.0213,14712,51,23118,NA,HumanObservation,NA,NA,05a6c3b8-fbef-475f-a6df-60cab3412118,Siphonariida,81db945e-d319-4237-b49e-cd3e78937393,Mar del Plata,Buenos Aires,-57.5274,NA,1280188800000,533427,Ar-Ba-Mp-Pc-Ba-4-114,Siphonarioidea,1280188800000,Siphonaria,NA,2010-07-27,FALSE,NA,138489,Siphonaria lessonii,TRUE,NA,NA,1057247,NA,1280188800000,Euthyneura,NA,Gastropoda,1057459,Animalia,Atlantic Ocean,NA,GPalomo,101,Mollusca,NA,Siphonaria lessonii,Heterobranchia,Siphonariidae,2,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-29,15.21,-30,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midtide,NA,2395,NA,NA,1057250,Tectipleura,Siphonarimorpha,1057458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2010,urn:lsid:marinespecies.org:taxname:533427,Siphonaria lessonii,382225,NA,FALSE,Ar-Ba-Mp-Pg-M3,533427,-38.02466,14712,51,23118,NA,HumanObservation,NA,NA,06d3810e-80fe-4564-9309-7d04db124384,Siphonariida,81db945e-d319-4237-b49e-cd3e78937393,Mar del Plata,Buenos Aires,-57.52817,NA,1280275200000,533427,Ar-Ba-Mp-Pg-Ba-3-121,Siphonarioidea,1280275200000,Siphonaria,NA,2010-07-28,FALSE,NA,138489,Siphonaria lessonii,TRUE,NA,NA,1057247,NA,1280275200000,Euthyneura,NA,Gastropoda,1057459,Animalia,Atlantic Ocean,NA,GPalomo,101,Mollusca,NA,Siphonaria lessonii,Heterobranchia,Siphonariidae,2,8385435b-bcf5-4bec-b827-8b480163d479,"no_depth,on_land",32.71,-10,15.21,-30,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midtide,NA,2409,NA,NA,1057250,Tectipleura,Siphonarimorpha,1057458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
