date,chlor_a
2018-06-18,1.75600004196167
2018-06-19,1.75600004196167
2018-06-20,22.169599533081055
2018-06-21,14.935285568237305
2018-06-22,12.33549976348877
2018-06-23,6.530714511871338
2018-06-24,1.8345714807510376
2018-06-25,1.8345714807510376
2018-06-26,1.8345714807510376
2018-06-27,1.8345714807510376
2018-06-28,2.6610000133514404
2018-06-29,1.4428750276565552
2018-06-30,1.738714337348938
2018-07-01,1.295714259147644
2018-07-02,1.295714259147644
2018-07-03,0.6679999828338623
2018-07-04,0.6679999828338623
2018-07-05,1.5246667861938477
2018-07-06,2.721250057220459
2018-07-07,3.257857084274292
2018-07-08,3.43566632270813
2018-07-09,2.8115556240081787
2018-07-10,2.3632500171661377
2018-07-11,2.3632500171661377
2018-07-12,2.3632500171661377
2018-07-13,2.3632500171661377
2018-07-14,2.3632500171661377
2018-07-15,2.3632500171661377
2018-07-16,2.3632500171661377
2018-07-17,NA
2018-07-18,NA
2018-07-19,NA
2018-07-20,NA
2018-07-21,0.48774999380111694
2018-07-22,0.48774999380111694
2018-07-23,0.48774999380111694
2018-07-24,0.48774999380111694
2018-07-25,0.48774999380111694
2018-07-26,0.48774999380111694
2018-07-27,0.48774999380111694
2018-07-28,NA
2018-07-29,NA
2018-07-30,NA
2018-08-12,NA
2018-08-13,NA
2018-08-14,NA
2018-08-15,5.379200458526611
2018-08-16,5.379200458526611
2018-08-17,5.379200458526611
2018-08-18,5.379200458526611
2018-08-19,5.379200458526611
2018-08-20,5.379200458526611
2018-08-21,5.379200458526611
2018-08-22,NA
2018-08-23,NA
2018-08-24,NA
2018-08-25,NA
2018-08-26,3.319000005722046
2018-08-27,3.319000005722046
2018-08-28,3.319000005722046
2018-08-29,23.92099952697754
2018-08-30,23.92099952697754
2018-08-31,6.260000228881836
2018-09-01,6.260000228881836
2018-09-02,6.260000228881836
2018-09-03,6.260000228881836
2018-09-04,6.260000228881836
2018-09-05,6.260000228881836
2018-09-06,6.260000228881836
2018-09-07,NA
2018-09-08,6.317856788635254
2018-09-09,3.4709999561309814
2018-09-10,4.1413750648498535
2018-09-11,4.1413750648498535
2018-09-12,2.109874963760376
2018-09-13,4.184000492095947
2018-09-14,6.9079999923706055
2018-09-15,4.701000213623047
2018-09-16,11.795833587646484
2018-09-17,17.2450008392334
2018-09-18,17.2450008392334
2018-09-19,17.2450008392334
2018-09-20,7.411000728607178
2018-09-21,5.215000152587891
2018-09-22,5.215000152587891
2018-09-23,17.990333557128906
2018-09-24,2.4170000553131104
2018-09-25,0.5640000104904175
2018-09-26,0.5640000104904175
2018-09-27,0.5640000104904175
2018-09-28,0.5640000104904175
2018-09-29,3.1268749237060547
2018-09-30,3.1268749237060547
2018-10-01,3.1268749237060547
