date,chlor_a
2018-07-16,1.9422308206558228
2018-07-17,1.9422308206558228
2018-07-18,0.9599999785423279
2018-07-19,0.9599999785423279
2018-07-20,1.5069999694824219
2018-07-21,1.537846326828003
2018-07-22,1.537846326828003
2018-07-23,1.537846326828003
2018-07-24,1.537846326828003
2018-07-25,1.537846326828003
2018-07-26,1.537846326828003
2018-07-27,1.537846326828003
2018-07-28,NA
2018-07-29,NA
2018-07-30,NA
2018-08-12,NA
2018-08-13,2.4337692260742188
2018-08-14,2.9504547119140625
2018-08-15,1.443833351135254
2018-08-16,0.8429999947547913
2018-08-17,0.8429999947547913
2018-08-18,1.7483075857162476
2018-08-19,1.6381537914276123
2018-08-20,1.6381537914276123
2018-08-21,1.6602307558059692
2018-08-22,1.1889230012893677
2018-08-23,1.012230634689331
2018-08-24,1.664272665977478
2018-08-25,1.5256667137145996
2018-08-26,2.1585001945495605
2018-08-27,2.1585001945495605
2018-08-28,1.061249852180481
2018-08-29,0.9869999885559082
2018-08-30,1.5448331832885742
2018-08-31,1.3242307901382446
2018-09-01,1.0920000076293945
2018-09-02,1.0920000076293945
2018-09-03,1.0920000076293945
2018-09-04,1.0920000076293945
2018-09-05,4.659900188446045
2018-09-06,3.125615358352661
2018-09-07,1.8169089555740356
2018-09-08,1.8169089555740356
2018-09-09,1.8169089555740356
2018-09-10,1.5874545574188232
2018-09-11,1.5874545574188232
2018-09-12,2.567214250564575
2018-09-13,2.2200000286102295
2018-09-14,2.3000001907348633
2018-09-15,1.3363749980926514
2018-09-16,1.9059231281280518
2018-09-17,1.524384617805481
2018-09-18,1.664533257484436
2018-09-19,1.9780714511871338
2018-09-20,1.9780714511871338
2018-09-21,1.2569166421890259
2018-09-22,1.278083324432373
2018-09-23,1.1449999809265137
2018-09-24,1.1449999809265137
2018-09-25,1.1449999809265137
2018-09-26,1.3890000581741333
2018-09-27,1.3890000581741333
2018-09-28,1.3936666250228882
2018-09-29,1.000166654586792
2018-09-30,0.8605000376701355
2018-10-01,0.8605000376701355
2018-10-02,0.8605000376701355
2018-10-03,0.484499990940094
2018-10-04,0.9954665899276733
2018-10-05,0.9954665899276733
2018-10-09,0.9954665899276733
2018-10-10,0.8022727966308594
2018-10-11,0.8155385255813599
2018-10-12,1.4284000396728516
2018-10-13,1.4284000396728516
2018-10-14,2.203866481781006
2018-10-15,1.1920000314712524
2018-10-16,0.6905384659767151
2018-10-17,0.31299999356269836
2018-10-18,0.31299999356269836
2018-10-19,1.5460712909698486
2018-10-20,1.6826153993606567
2018-10-21,1.6826153993606567
2018-10-24,1.6826153993606567
2018-10-25,1.6826153993606567
2018-10-26,1.6826153993606567
2018-10-27,NA
2018-10-28,NA
2018-10-29,NA
2018-10-30,NA
2018-10-31,NA
2018-11-01,NA
2018-11-02,NA
2018-11-04,NA
2018-11-06,NA
2018-11-13,NA
2018-11-18,NA
2018-11-27,NA
2018-12-01,NA
2018-12-09,NA
2018-12-10,NA
2018-12-11,2.3008463382720947
2018-12-12,2.3008463382720947
2018-12-13,1.9874286651611328
2018-12-14,1.9874286651611328
2018-12-15,2.945699691772461
2018-12-16,1.7258182764053345
2018-12-17,1.7258182764053345
2018-12-18,2.243299961090088
2018-12-19,2.243299961090088
2018-12-20,2.243299961090088
2018-12-21,2.243299961090088
2018-12-22,2.243299961090088
2018-12-23,3.64359974861145
2018-12-24,2.932922840118408
2018-12-25,0.7963076829910278
2018-12-26,3.8959999084472656
2018-12-27,4.179999828338623
2018-12-28,5.134428977966309
2018-12-29,3.385230541229248
2018-12-30,5.374570369720459
2018-12-31,5.374570369720459
2019-01-01,4.680666446685791
2019-01-02,3.5581538677215576
2019-01-03,3.379357099533081
2019-01-04,1.9701666831970215
2019-01-05,1.9701666831970215
2019-01-06,0.47933337092399597
2019-01-07,0.327583372592926
2019-01-08,0.327583372592926
2019-01-09,1.223571538925171
2019-01-10,1.223571538925171
2019-01-11,1.223571538925171
2019-01-12,0.4172307848930359
2019-01-13,0.4172307848930359
2019-01-14,0.4172307848930359
2019-01-15,0.4172307848930359
2019-01-16,0.4172307848930359
2019-01-17,0.4172307848930359
2019-01-18,0.4172307848930359
2019-01-19,3.9887144565582275
2019-01-20,3.9887144565582275
2019-01-21,3.9887144565582275
2019-01-22,3.9887144565582275
2019-01-23,2.472428798675537
2019-01-24,2.7363569736480713
2019-01-25,4.995142936706543
2019-01-26,4.995142936706543
2019-01-27,4.995142936706543
2019-01-28,4.995142936706543
2019-01-29,1.5900715589523315
2019-01-30,1.5900715589523315
2019-01-31,1.5900715589523315
2019-02-01,1.5900715589523315
2019-02-03,1.5900715589523315
2019-02-04,1.5900715589523315
2019-02-05,2.1460001468658447
2019-02-06,2.1460001468658447
2019-02-07,1.2163077592849731
2019-02-08,1.574466586112976
2019-02-09,0.9708666205406189
2019-02-10,0.9708666205406189
2019-02-11,3.670076608657837
2019-02-12,3.670076608657837
2019-02-13,3.670076608657837
2019-02-14,3.670076608657837
2019-02-15,3.670076608657837
2019-02-16,3.670076608657837
2019-06-01,NA
