date,chlor_a
2018-04-27,10.248713493347168
2018-04-28,10.248713493347168
2018-04-29,5.228727340698242
2018-04-30,3.391231060028076
2018-05-01,3.3513569831848145
2018-05-02,3.3513569831848145
2018-05-03,14.65524959564209
2018-05-04,2.8954999446868896
2018-05-05,2.8954999446868896
2018-05-06,2.8954999446868896
2018-05-07,2.300285816192627
2018-05-08,2.300285816192627
2018-05-10,2.300285816192627
2018-05-11,4.699000358581543
2018-05-12,4.618000030517578
2018-05-13,4.618000030517578
2018-05-14,0.6620000004768372
2018-05-15,11.074999809265137
2018-05-16,8.851334571838379
2018-05-17,8.851334571838379
2018-05-18,8.851334571838379
2018-05-19,8.851334571838379
2018-05-20,8.851334571838379
2018-05-21,8.851334571838379
2018-05-22,8.851334571838379
2018-05-23,NA
2018-05-24,NA
2018-05-25,NA
2018-05-26,NA
2018-05-27,NA
2018-05-28,2.369333505630493
2018-05-29,2.73699951171875
2018-05-30,2.73699951171875
2018-05-31,2.8914999961853027
2018-06-01,1.6165385246276855
2018-06-02,1.5924285650253296
2018-06-03,1.5924285650253296
2018-06-04,2.8250715732574463
2018-06-05,2.8250715732574463
2018-06-06,3.236416816711426
2018-06-07,3.4930710792541504
2018-06-08,2.1579999923706055
2018-06-09,2.1579999923706055
2018-06-10,4.9016923904418945
2018-06-11,4.9016923904418945
2018-06-12,4.9016923904418945
2018-06-13,4.479072093963623
2018-06-14,4.479072093963623
2018-06-15,4.479072093963623
2018-06-16,4.479072093963623
2018-06-18,4.479072093963623
2018-06-19,4.479072093963623
2018-06-20,NA
2018-06-21,2.706714391708374
2018-06-22,2.4894614219665527
2018-06-23,2.0916664600372314
2018-06-24,2.0916664600372314
2018-06-25,2.0916664600372314
2018-06-26,28.69923210144043
2018-06-27,28.69923210144043
2018-06-28,3.1908464431762695
2018-06-29,2.1737143993377686
2018-06-30,2.1737143993377686
2018-07-01,2.1737143993377686
2018-07-02,2.1737143993377686
2018-07-03,2.1737143993377686
2018-07-04,2.6963999271392822
2018-07-05,2.6963999271392822
2018-07-06,2.2462728023529053
2018-07-07,2.801142930984497
2018-07-08,2.899399995803833
2018-07-09,4.301199913024902
2018-07-10,2.416733503341675
2018-07-11,2.416733503341675
2018-07-12,2.416733503341675
2018-07-13,2.416733503341675
2018-07-14,2.416733503341675
2018-07-15,2.416733503341675
2018-07-16,2.416733503341675
2018-07-17,NA
2018-07-18,NA
2018-07-19,NA
