date,chlor_a
2018-02-12,NA
2018-02-13,NA
2018-02-14,NA
2018-02-15,NA
2018-02-16,NA
2018-02-17,NA
2018-02-18,NA
2018-02-19,NA
2018-02-20,NA
2018-03-14,NA
2018-03-15,NA
2018-03-16,8.930000305175781
2018-03-17,8.323999404907227
2018-03-18,8.323999404907227
2018-03-19,8.323999404907227
2018-03-20,8.323999404907227
2018-03-21,8.323999404907227
2018-03-22,4.045000076293945
2018-03-23,9.304200172424316
2018-03-24,9.304200172424316
2018-03-25,1.7510000467300415
2018-03-26,2.0909998416900635
2018-03-27,3.5929999351501465
2018-03-28,5.231333255767822
2018-03-29,5.231333255767822
2018-03-30,5.231333255767822
2018-03-31,5.231333255767822
2018-04-01,5.231333255767822
2018-04-02,3.2814998626708984
2018-04-03,3.120000123977661
2018-04-04,3.120000123977661
2018-04-05,3.120000123977661
2018-04-06,3.120000123977661
2018-04-07,3.120000123977661
2018-04-08,6.006249904632568
2018-04-09,8.686333656311035
2018-04-10,8.686333656311035
2018-04-11,8.686333656311035
2018-04-12,8.686333656311035
2018-04-13,2.976249933242798
2018-04-14,4.579599857330322
2018-04-15,4.229000091552734
2018-04-16,3.2721664905548096
2018-04-17,22.638999938964844
2018-04-18,22.638999938964844
2018-04-19,10.17180061340332
2018-04-20,11.322166442871094
2018-04-21,39.42957305908203
2018-04-22,39.42957305908203
2018-04-23,39.42957305908203
2018-04-24,43.60433578491211
2018-04-25,43.60433578491211
2018-04-26,43.60433578491211
2018-04-27,6.473857402801514
2018-04-28,0.8500000238418579
2018-04-29,0.8500000238418579
2018-04-30,2.6398332118988037
2018-05-01,2.250714063644409
2018-05-02,3.002800226211548
2018-05-03,15.567667961120605
2018-05-04,5.371166706085205
2018-05-05,5.371166706085205
2018-05-06,5.371166706085205
2018-05-07,4.204285621643066
2018-05-08,4.204285621643066
2018-05-10,3.2736001014709473
2018-05-11,6.523000240325928
2018-05-12,5.8468337059021
2018-05-13,5.8468337059021
2018-05-14,21.642749786376953
2018-05-15,16.302000045776367
2018-05-16,110.9020004272461
2018-05-17,9.142858505249023
2018-05-18,3.5353333950042725
2018-05-19,3.5353333950042725
2018-05-20,3.5353333950042725
2018-05-21,3.072333335876465
2018-05-22,3.072333335876465
2018-05-23,3.072333335876465
2018-05-24,3.072333335876465
2018-05-25,3.072333335876465
