date,sst
2002-06-16,14.2603759765625
2002-07-16,16.259796142578125
2002-08-16,15.205657958984375
2002-09-16,14.505462646484375
2002-10-16,15.687744140625
2002-11-16,15.203704833984375
2002-12-16,14.755096435546875
2003-01-16,14.787261962890625
2003-02-16,14.360870361328125
2003-03-16,12.589996337890625
2003-04-16,11.629791259765625
2003-05-16,12.266845703125
2003-06-16,14.751190185546875
2003-07-16,16.276702880859375
2003-08-16,15.74322509765625
2003-09-16,16.511749267578125
2003-10-16,17.22845458984375
2003-11-16,15.714630126953125
2003-12-16,13.89849853515625
2004-01-16,13.3740234375
2004-02-16,12.755523681640625
2004-03-16,13.75335693359375
2004-04-16,13.433837890625
2004-05-16,13.64337158203125
2004-06-16,14.931396484375
2004-07-16,16.65673828125
2004-08-16,16.7852783203125
2004-09-16,18.956817626953125
2004-10-16,17.333953857421875
2004-11-16,16.10113525390625
2004-12-16,14.6563720703125
2005-01-16,14.7120361328125
2005-02-16,14.458587646484375
2005-03-16,14.519683837890625
2005-04-16,12.630767822265625
2005-05-16,13.496429443359375
2005-06-16,13.726654052734375
2005-07-16,15.906494140625
2005-08-16,17.6343994140625
2005-09-16,15.81427001953125
2005-10-16,14.7891845703125
2005-11-16,15.519866943359375
2005-12-16,14.68023681640625
2006-01-16,13.049285888671875
2006-02-16,13.5478515625
2006-03-16,11.482086181640625
2006-04-16,12.616302490234375
2006-05-16,14.707672119140625
2006-06-16,16.149505615234375
2006-07-16,17.968017578125
2006-08-16,18.60272216796875
2006-09-16,17.12298583984375
2006-10-16,16.995391845703125
2006-11-16,16.64697265625
2006-12-16,14.88226318359375
2007-01-16,13.425537109375
2007-02-16,13.7271728515625
2007-03-16,13.018585205078125
2007-04-16,12.912872314453125
2007-05-16,13.242218017578125
2007-06-16,15.072265625
2007-07-16,17.54022216796875
2007-08-16,17.81317138671875
2007-09-16,16.96026611328125
2007-10-16,15.2119140625
2007-11-16,14.451263427734375
2007-12-16,13.146942138671875
2008-01-16,12.999053955078125
2008-02-16,12.915985107421875
2008-03-16,12.587615966796875
2008-04-16,11.70794677734375
2008-05-16,12.70733642578125
2008-06-16,15.513671875
2008-07-16,17.787353515625
2008-08-16,19.1915283203125
2008-09-16,18.215179443359375
2008-10-16,16.620269775390625
2008-11-16,16.038330078125
2008-12-16,14.070709228515625
2009-01-16,13.618438720703125
2009-02-16,13.12274169921875
2009-03-16,13.038116455078125
2009-04-16,12.3638916015625
2009-05-16,13.631195068359375
2009-06-16,15.79815673828125
2009-07-16,16.5758056640625
2009-08-16,16.611053466796875
2009-09-16,18.8646240234375
2009-10-16,17.90740966796875
2009-11-16,16.2545166015625
2009-12-16,14.741455078125
2010-01-16,14.5916748046875
2010-02-16,14.268218994140625
2010-03-16,13.347076416015625
2010-04-16,12.76171875
2010-05-16,12.04522705078125
2010-06-16,15.01068115234375
2010-07-16,15.8551025390625
2010-08-16,15.275787353515625
2010-09-16,15.438232421875
2010-10-16,16.49530029296875
2010-11-16,15.040252685546875
2010-12-16,13.055877685546875
2011-01-16,13.341644287109375
2011-02-16,13.474700927734375
2011-03-16,11.923309326171875
2011-04-16,12.49127197265625
2011-05-16,12.426116943359375
2011-06-16,13.86859130859375
2011-07-16,17.17681884765625
2011-08-16,16.334381103515625
2011-09-16,16.58331298828125
2011-10-16,15.825439453125
2011-11-16,15.059326171875
2011-12-16,14.06634521484375
2012-01-16,14.123626708984375
2012-02-16,13.50421142578125
2012-03-16,11.93017578125
2012-04-16,12.289337158203125
2012-05-16,13.52899169921875
2012-06-16,15.642059326171875
2012-07-16,16.163177490234375
2012-08-16,18.17718505859375
2012-09-16,18.662384033203125
2012-10-16,18.590179443359375
2012-11-16,16.362701416015625
2012-12-16,14.968017578125
2013-01-16,13.019866943359375
2013-02-16,13.15093994140625
2013-03-16,13.55792236328125
2013-04-16,12.831512451171875
2013-05-16,14.792633056640625
2013-06-16,16.22723388671875
2013-07-16,16.9703369140625
2013-08-16,17.439544677734375
2013-09-16,17.487213134765625
2013-10-16,17.152557373046875
2013-11-16,16.302642822265625
2013-12-16,14.78277587890625
2014-01-16,15.199676513671875
2014-02-16,14.36700439453125
2014-03-16,14.411712646484375
2014-04-16,12.983123779296875
2014-05-16,13.86859130859375
2014-06-16,16.222625732421875
2014-07-16,19.3936767578125
2014-08-16,18.27386474609375
2014-09-16,19.076019287109375
2014-10-16,19.836456298828125
2014-11-16,18.50494384765625
2014-12-16,17.481048583984375
2015-01-16,16.14447021484375
2015-02-16,15.97381591796875
2015-03-16,15.8031005859375
2015-04-16,13.473480224609375
2015-05-16,13.36065673828125
2015-06-16,15.951171875
2015-07-16,18.433258056640625
2015-08-16,19.557403564453125
2015-09-16,21.7471923828125
2015-10-16,20.602874755859375
2015-11-16,17.483245849609375
2015-12-16,16.453765869140625
2016-01-16,14.82379150390625
2016-02-16,15.0548095703125
2016-03-16,14.220458984375
2016-04-16,13.48333740234375
2016-05-16,14.249969482421875
2016-06-16,15.487213134765625
2016-07-16,17.907958984375
2016-08-16,18.23883056640625
2016-09-16,18.1756591796875
2016-10-16,17.033905029296875
2016-11-16,16.402740478515625
2016-12-16,14.370849609375
2017-01-16,13.869781494140625
2017-02-16,13.82421875
2017-03-16,13.369537353515625
2017-04-16,12.51055908203125
2017-05-16,13.37591552734375
2017-06-16,15.58538818359375
2017-07-16,17.7703857421875
2017-08-16,18.482421875
2017-09-16,18.544464111328125
2017-10-16,18.21844482421875
2017-11-16,16.37109375
2017-12-16,15.480804443359375
2018-01-16,15.123565673828125
