date,sst
2002-06-16,22.03765869140625
2002-07-16,19.131500244140625
2002-08-16,19.53582763671875
2002-09-16,19.689849853515625
2002-10-16,22.9232177734375
2002-11-16,24.05206298828125
2002-12-16,25.971923828125
2003-01-16,27.48028564453125
2003-02-16,27.786346435546875
2003-03-16,27.088714599609375
2003-04-16,25.364532470703125
2003-05-16,23.214996337890625
2003-06-16,21.440185546875
2003-07-16,20.2567138671875
2003-08-16,19.87432861328125
2003-09-16,19.5177001953125
2003-10-16,21.811859130859375
2003-11-16,23.347381591796875
2003-12-16,25.26800537109375
2004-01-16,25.627105712890625
2004-02-16,26.111480712890625
2004-03-16,26.08892822265625
2004-04-16,25.4136962890625
2004-05-16,22.178192138671875
2004-06-16,20.055877685546875
2004-07-16,19.274658203125
2004-08-16,19.48638916015625
2004-09-16,21.39288330078125
2004-10-16,21.60015869140625
2004-11-16,22.73089599609375
2004-12-16,24.56622314453125
2005-01-16,26.195770263671875
2005-02-16,26.1400146484375
2005-03-16,26.9884033203125
2005-04-16,25.5892333984375
2005-05-16,23.7137451171875
2005-06-16,22.907440185546875
2005-07-16,20.978546142578125
2005-08-16,20.456573486328125
2005-09-16,19.152374267578125
2005-10-16,20.819976806640625
2005-11-16,23.3138427734375
2005-12-16,24.704254150390625
2006-01-16,26.99432373046875
2006-02-16,27.742156982421875
2006-03-16,27.59454345703125
2006-04-16,25.4171142578125
2006-05-16,22.184356689453125
2006-06-16,21.078704833984375
2006-07-16,20.945953369140625
2006-08-16,20.61834716796875
2006-09-16,20.221221923828125
2006-10-16,20.90472412109375
2006-11-16,23.643280029296875
2006-12-16,25.412078857421875
2007-01-16,26.352813720703125
2007-02-16,27.170867919921875
2007-03-16,28.087677001953125
2007-04-16,26.53802490234375
2007-05-16,22.541778564453125
2007-06-16,19.94854736328125
2007-07-16,17.813812255859375
2007-08-16,16.96728515625
2007-09-16,20.06121826171875
2007-10-16,22.017425537109375
2007-11-16,23.543426513671875
2007-12-16,25.415557861328125
2008-01-16,26.24957275390625
2008-02-16,26.517303466796875
2008-03-16,26.106597900390625
2008-04-16,24.52197265625
2008-05-16,21.80035400390625
2008-06-16,19.85528564453125
2008-07-16,20.28253173828125
2008-08-16,20.083770751953125
2008-09-16,19.77398681640625
2008-10-16,20.99993896484375
2008-11-16,22.88165283203125
2008-12-16,24.18048095703125
2009-01-16,25.453826904296875
2009-02-16,26.3236083984375
2009-03-16,27.19708251953125
2009-04-16,25.6934814453125
2009-05-16,23.589508056640625
2009-06-16,20.283538818359375
2009-07-16,19.267578125
2009-08-16,19.108489990234375
2009-09-16,20.203216552734375
2009-10-16,21.156646728515625
2009-11-16,24.658203125
2009-12-16,26.095672607421875
2010-01-16,26.961883544921875
2010-02-16,28.85211181640625
2010-03-16,26.753753662109375
2010-04-16,24.63397216796875
2010-05-16,22.139495849609375
2010-06-16,20.272552490234375
2010-07-16,20.257568359375
2010-08-16,18.132415771484375
2010-09-16,19.553192138671875
2010-10-16,20.50921630859375
2010-11-16,23.1080322265625
2010-12-16,24.9453125
2011-01-16,27.626220703125
2011-02-16,26.99188232421875
2011-03-16,25.22930908203125
2011-04-16,24.771881103515625
2011-05-16,22.090118408203125
2011-06-16,20.067169189453125
2011-07-16,18.663604736328125
2011-08-16,18.490997314453125
2011-09-16,18.8009033203125
2011-10-16,21.55657958984375
2011-11-16,22.788299560546875
2011-12-16,25.027313232421875
2012-01-16,25.9451904296875
2012-02-16,27.48419189453125
2012-03-16,25.804534912109375
2012-04-16,25.073516845703125
2012-05-16,22.467498779296875
2012-06-16,20.761627197265625
2012-07-16,19.644073486328125
2012-08-16,20.173675537109375
2012-09-16,21.2388916015625
2012-10-16,22.317413330078125
2012-11-16,23.85791015625
2012-12-16,25.741607666015625
2013-01-16,26.550506591796875
2013-02-16,27.203582763671875
2013-03-16,25.990966796875
2013-04-16,24.71728515625
2013-05-16,23.216461181640625
2013-06-16,21.19976806640625
2013-07-16,18.665069580078125
2013-08-16,18.11981201171875
2013-09-16,18.950927734375
2013-10-16,21.08172607421875
2013-11-16,23.29815673828125
2013-12-16,25.3446044921875
2014-01-16,27.858734130859375
2014-02-16,28.43597412109375
2014-03-16,26.908782958984375
2014-04-16,24.933929443359375
2014-05-16,22.92596435546875
2014-06-16,20.88818359375
2014-07-16,19.713165283203125
2014-08-16,20.15673828125
2014-09-16,21.344757080078125
