date,sst
2002-06-16,14.01007080078125
2002-07-16,14.931671142578125
2002-08-16,14.982818603515625
2002-09-16,14.60284423828125
2002-10-16,15.163543701171875
2002-11-16,14.969482421875
2002-12-16,14.69122314453125
2003-01-16,14.32958984375
2003-02-16,14.08575439453125
2003-03-16,12.681671142578125
2003-04-16,12.188873291015625
2003-05-16,12.289703369140625
2003-06-16,14.03533935546875
2003-07-16,15.538116455078125
2003-08-16,15.68951416015625
2003-09-16,15.558624267578125
2003-10-16,16.480010986328125
2003-11-16,14.85333251953125
2003-12-16,13.787261962890625
2004-01-16,13.121612548828125
2004-02-16,12.64617919921875
2004-03-16,13.183380126953125
2004-04-16,12.647796630859375
2004-05-16,12.96563720703125
2004-06-16,13.495208740234375
2004-07-16,15.330841064453125
2004-08-16,16.1561279296875
2004-09-16,17.561431884765625
2004-10-16,15.902496337890625
2004-11-16,15.140045166015625
2004-12-16,14.20941162109375
2005-01-16,14.162200927734375
2005-02-16,14.02801513671875
2005-03-16,14.67071533203125
2005-04-16,12.754852294921875
2005-05-16,13.182281494140625
2005-06-16,13.065948486328125
2005-07-16,14.623077392578125
2005-08-16,16.649078369140625
2005-09-16,15.027191162109375
2005-10-16,14.08050537109375
2005-11-16,14.277191162109375
2005-12-16,13.901641845703125
2006-01-16,12.8387451171875
2006-02-16,12.95074462890625
2006-03-16,11.887542724609375
2006-04-16,13.03466796875
2006-05-16,14.251129150390625
2006-06-16,15.249053955078125
2006-07-16,17.409423828125
2006-08-16,18.064666748046875
2006-09-16,16.881591796875
2006-10-16,16.3668212890625
2006-11-16,15.909637451171875
2006-12-16,14.502166748046875
2007-01-16,13.272186279296875
2007-02-16,13.662200927734375
2007-03-16,12.791412353515625
2007-04-16,12.18548583984375
2007-05-16,12.504364013671875
2007-06-16,14.15966796875
2007-07-16,16.356658935546875
2007-08-16,17.169189453125
2007-09-16,16.329345703125
2007-10-16,15.1031494140625
2007-11-16,14.362213134765625
2007-12-16,12.88067626953125
2008-01-16,12.66473388671875
2008-02-16,12.506866455078125
2008-03-16,12.086334228515625
2008-04-16,11.396392822265625
2008-05-16,12.05914306640625
2008-06-16,14.4771728515625
2008-07-16,16.670257568359375
2008-08-16,17.419677734375
2008-09-16,17.2342529296875
2008-10-16,16.10687255859375
2008-11-16,15.74810791015625
2008-12-16,13.855560302734375
2009-01-16,13.40435791015625
2009-02-16,13.101837158203125
2009-03-16,12.6014404296875
2009-04-16,12.064483642578125
2009-05-16,13.451751708984375
2009-06-16,15.460357666015625
2009-07-16,16.050506591796875
2009-08-16,16.139923095703125
2009-09-16,17.70416259765625
2009-10-16,16.70477294921875
2009-11-16,15.6248779296875
2009-12-16,14.1094970703125
2010-01-16,14.3525390625
2010-02-16,13.787841796875
2010-03-16,13.338348388671875
2010-04-16,12.591033935546875
2010-05-16,12.28570556640625
2010-06-16,13.98675537109375
2010-07-16,15.279266357421875
2010-08-16,14.7210693359375
2010-09-16,14.80450439453125
2010-10-16,15.96868896484375
2010-11-16,14.49969482421875
2010-12-16,13.066497802734375
2011-01-16,13.0299072265625
2011-02-16,13.020660400390625
2011-03-16,12.1365966796875
2011-04-16,12.40594482421875
2011-05-16,12.224151611328125
2011-06-16,13.6572265625
2011-07-16,16.209930419921875
2011-08-16,15.812255859375
2011-09-16,16.60394287109375
2011-10-16,16.175445556640625
2011-11-16,14.8740234375
2011-12-16,13.7960205078125
2012-01-16,13.651824951171875
2012-02-16,12.678985595703125
2012-03-16,11.766082763671875
2012-04-16,12.03533935546875
2012-05-16,12.879241943359375
2012-06-16,14.40142822265625
2012-07-16,15.3929443359375
2012-08-16,17.4246826171875
2012-09-16,17.695709228515625
2012-10-16,18.080169677734375
2012-11-16,16.37017822265625
2012-12-16,14.82635498046875
2013-01-16,12.87921142578125
2013-02-16,12.73211669921875
2013-03-16,12.82000732421875
2013-04-16,12.54217529296875
2013-05-16,13.786529541015625
2013-06-16,15.16259765625
2013-07-16,16.235076904296875
2013-08-16,15.920074462890625
2013-09-16,16.29010009765625
2013-10-16,16.55731201171875
2013-11-16,16.07574462890625
2013-12-16,14.4149169921875
2014-01-16,14.6998291015625
2014-02-16,13.6707763671875
2014-03-16,13.858795166015625
2014-04-16,13.104705810546875
2014-05-16,13.998138427734375
2014-06-16,15.66107177734375
2014-07-16,18.8477783203125
2014-08-16,17.73321533203125
2014-09-16,18.532318115234375
2014-10-16,19.031005859375
2014-11-16,17.89068603515625
2014-12-16,16.6561279296875
2015-01-16,15.568817138671875
2015-02-16,15.610565185546875
2015-03-16,14.792388916015625
2015-04-16,14.020965576171875
2015-05-16,13.64373779296875
2015-06-16,15.443145751953125
2015-07-16,18.07781982421875
2015-08-16,18.704559326171875
2015-09-16,20.909515380859375
2015-10-16,20.067108154296875
2015-11-16,16.90771484375
2015-12-16,16.15264892578125
2016-01-16,14.511474609375
2016-02-16,14.55853271484375
2016-03-16,14.190765380859375
2016-04-16,13.495147705078125
2016-05-16,13.916259765625
2016-06-16,15.04559326171875
2016-07-16,17.441741943359375
2016-08-16,18.129150390625
2016-09-16,17.553955078125
2016-10-16,16.779052734375
2016-11-16,16.07891845703125
2016-12-16,13.9031982421875
2017-01-16,13.719482421875
2017-02-16,13.561920166015625
2017-03-16,13.4263916015625
2017-04-16,12.548675537109375
2017-05-16,13.21087646484375
2017-06-16,15.111602783203125
2017-07-16,17.477325439453125
2017-08-16,17.8387451171875
2017-09-16,17.968048095703125
2017-10-16,17.26702880859375
2017-11-16,16.236572265625
2017-12-16,15.0831298828125
