date,sst
2002-06-16,-1.286163330078125
2002-07-16,-1.355194091796875
2002-08-16,-1.31658935546875
2002-09-16,-1.1204833984375
2002-10-16,-1.001922607421875
2002-11-16,-1.223541259765625
2002-12-16,-0.266357421875
2003-01-16,1.04852294921875
2003-02-16,0.706024169921875
2003-03-16,0.75390625
2003-04-16,0.28497314453125
2003-05-16,-0.637603759765625
2003-06-16,-1.14788818359375
2003-07-16,-1.5111083984375
2003-08-16,-1.305999755859375
2003-09-16,-1.30780029296875
2003-10-16,-1.4212646484375
2003-11-16,-1.0216064453125
2003-12-16,-0.13299560546875
2004-01-16,0.316436767578125
2004-02-16,0.85113525390625
2004-03-16,0.500823974609375
2004-04-16,0.129180908203125
2004-05-16,-0.96038818359375
2004-06-16,-1.015380859375
2004-07-16,-1.263580322265625
2004-08-16,-1.31793212890625
2004-09-16,-1.405731201171875
2004-10-16,-1.363189697265625
2004-11-16,-1.0628662109375
2004-12-16,-0.439117431640625
2005-01-16,0.31719970703125
2005-02-16,0.39727783203125
2005-03-16,0.656097412109375
2005-04-16,0.066864013671875
2005-05-16,-0.564056396484375
2005-06-16,-1.23919677734375
2005-07-16,-1.327392578125
2005-08-16,-1.4808349609375
2005-09-16,-1.23858642578125
2005-10-16,-1.05914306640625
2005-11-16,-0.636444091796875
2005-12-16,0.354705810546875
2006-01-16,1.50579833984375
2006-02-16,1.759490966796875
2006-03-16,1.676116943359375
2006-04-16,0.927001953125
2006-05-16,0.163665771484375
2006-06-16,-0.50360107421875
2006-07-16,-0.9764404296875
2006-08-16,-1.21429443359375
2006-09-16,-1.28717041015625
2006-10-16,-1.07012939453125
2006-11-16,-0.36663818359375
2006-12-16,0.248809814453125
2007-01-16,1.77239990234375
2007-02-16,1.40985107421875
2007-03-16,0.69012451171875
2007-04-16,-0.111114501953125
2007-05-16,-1.080108642578125
2007-06-16,-1.416961669921875
2007-07-16,-1.687103271484375
2007-08-16,-1.50390625
2007-09-16,-1.46221923828125
2007-10-16,-1.2060546875
2007-11-16,-0.91925048828125
2007-12-16,0.062286376953125
2008-01-16,0.90118408203125
2008-02-16,1.464813232421875
2008-03-16,0.95477294921875
2008-04-16,0.57171630859375
2008-05-16,-0.086944580078125
2008-06-16,-0.96331787109375
2008-07-16,-1.100830078125
2008-08-16,-1.28387451171875
2008-09-16,-1.169769287109375
2008-10-16,-0.704986572265625
2008-11-16,-0.26519775390625
2008-12-16,0.545501708984375
2009-01-16,1.425445556640625
2009-02-16,1.480438232421875
2009-03-16,1.64923095703125
2009-04-16,0.922393798828125
2009-05-16,0.056610107421875
2009-06-16,-0.99688720703125
2009-07-16,-1.439727783203125
2009-08-16,-1.538238525390625
2009-09-16,-1.4716796875
2009-10-16,-1.2210693359375
2009-11-16,-1.0096435546875
2009-12-16,-0.27978515625
2010-01-16,0.620269775390625
2010-02-16,0.705291748046875
2010-03-16,0.523651123046875
2010-04-16,0.08465576171875
2010-05-16,-0.774749755859375
2010-06-16,-0.923553466796875
2010-07-16,-1.2884521484375
2010-08-16,-1.205596923828125
2010-09-16,-1.245941162109375
2010-10-16,-1.0140380859375
2010-11-16,-0.20220947265625
2010-12-16,0.096435546875
2011-01-16,0.95172119140625
2011-02-16,1.3123779296875
2011-03-16,1.2330322265625
2011-04-16,-0.194122314453125
2011-05-16,-1.004547119140625
2011-06-16,-1.3316650390625
2011-07-16,-1.467041015625
2011-08-16,-1.612945556640625
2011-09-16,-1.528045654296875
2011-10-16,-1.19476318359375
2011-11-16,-0.493438720703125
2011-12-16,0.272003173828125
2012-01-16,1.3392333984375
2012-02-16,1.6126708984375
2012-03-16,1.270965576171875
2012-04-16,0.178497314453125
2012-05-16,-0.682037353515625
2012-06-16,-1.19140625
2012-07-16,-1.25494384765625
2012-08-16,-1.377777099609375
2012-09-16,-1.19415283203125
2012-10-16,-1.158477783203125
2012-11-16,-0.974609375
2012-12-16,0.367279052734375
2013-01-16,0.98663330078125
2013-02-16,1.10382080078125
2013-03-16,1.252593994140625
2013-04-16,0.916046142578125
2013-05-16,-0.117034912109375
2013-06-16,-0.858673095703125
2013-07-16,-1.3668212890625
2013-08-16,-1.62811279296875
2013-09-16,-1.505218505859375
2013-10-16,-1.237579345703125
2013-11-16,-0.8807373046875
2013-12-16,0.15863037109375
2014-01-16,0.817169189453125
2014-02-16,0.76519775390625
2014-03-16,0.421478271484375
2014-04-16,-0.057861328125
2014-05-16,-0.83648681640625
2014-06-16,-1.410552978515625
2014-07-16,-1.46636962890625
2014-08-16,-1.422607421875
2014-09-16,-1.31591796875
2014-10-16,-1.30926513671875
2014-11-16,-1.01531982421875
2014-12-16,0.029449462890625
2015-01-16,0.765838623046875
2015-02-16,1.41802978515625
2015-03-16,0.76806640625
2015-04-16,0.299896240234375
2015-05-16,-0.4051513671875
2015-06-16,-1.2711181640625
2015-07-16,-1.6512451171875
2015-08-16,-1.47186279296875
2015-09-16,-1.384521484375
2015-10-16,-1.15838623046875
2015-11-16,-0.806182861328125
2015-12-16,0.12652587890625
2016-01-16,0.736419677734375
2016-02-16,1.03717041015625
2016-03-16,0.775848388671875
2016-04-16,-0.002410888671875
2016-05-16,-0.58221435546875
2016-06-16,-1.136383056640625
2016-07-16,-1.548736572265625
2016-08-16,-1.7191162109375
2016-09-16,-1.461273193359375
2016-10-16,-0.726806640625
2016-11-16,-0.4576416015625
2016-12-16,0.7752685546875
2017-01-16,2.061370849609375
2017-02-16,2.0799560546875
2017-03-16,1.451141357421875
2017-04-16,0.61920166015625
2017-05-16,0.019256591796875
