day,temp_c_avg_0444 B300 C717 08,temp_c_min_0444 B300 C717 08,temp_c_max_0444 B300 C717 08,temp_c_avg_04C0 6400 8845 0D,temp_c_min_04C0 6400 8845 0D,temp_c_max_04C0 6400 8845 0D
2018-12-19T00:00:00Z,20.894160583941606,15.5,33,17.815982404692082,15.6,32.6
2018-12-20T00:00:00Z,18.954027777777778,13.9,36.2,16.03729166666667,14.7,19.7
2018-12-21T00:00:00Z,19.466527777777777,12.8,37.3,16.595694444444444,14.7,20.5
2018-12-22T00:00:00Z,19.583055555555557,11.4,37.4,17.22625,14.9,22
2018-12-23T00:00:00Z,19.63576388888889,13.4,39.5,17.262777777777778,14.6,21
2018-12-24T00:00:00Z,19.666875,12.1,36.8,17.68166666666667,15,29.6
2018-12-25T00:00:00Z,19.261805555555554,14.7,31.3,17.974305555555556,15.9,33.6
2018-12-26T00:00:00Z,16.692777777777778,13.2,25.2,16.682430555555555,14.9,18.2
2018-12-27T00:00:00Z,18.361805555555556,13.7,30.5,18.252083333333335,13.7,34.6
2018-12-28T00:00:00Z,18.070694444444445,13.1,29.1,18.07888888888889,15.1,33.5
2018-12-29T00:00:00Z,17.933582709891937,12.9,29.7,16.693125,13.7,19.1
2018-12-30T00:00:00Z,NA,NA,NA,14.349601275917065,11.6,16.1
