day,temp_c_avg_shade,temp_c_min_shade,temp_c_max_shade,temp_c_avg_sun,temp_c_min_sun,temp_c_max_sun
2019-07-05T00:00:00Z,25.2375,23.5,31.1,24.7875,23.5,27.4
2019-07-06T00:00:00Z,22.6875,21.6,23.7,23.083333333333332,21.8,26
2019-07-07T00:00:00Z,20.883333333333333,20.1,22.3,21.029166666666665,20.2,22.5
2019-07-08T00:00:00Z,20.35,19.3,21.9,20.4375,19.4,22.1
2019-07-09T00:00:00Z,20.7,19.4,22.7,20.770833333333332,19.4,22.8
2019-07-10T00:00:00Z,21.433333333333334,19.7,23.6,21.520833333333332,19.9,23.5
2019-07-11T00:00:00Z,21.97083333333333,20.8,23.2,22.175,20.9,23.3
2019-07-12T00:00:00Z,21.816666666666666,16.7,23.8,22.391666666666666,20.7,23.9
2019-07-13T00:00:00Z,22.0375,17.7,24.7,22.783333333333335,18.7,24.8
2019-07-14T00:00:00Z,22.520833333333332,18.6,25.2,23.4875,19.2,30.2
2019-07-15T00:00:00Z,22.820833333333333,18,25.7,24.254166666666666,21.3,30
2019-07-16T00:00:00Z,23.316666666666666,19.6,25.3,24.454166666666666,22.3,33.1
2019-07-17T00:00:00Z,21.695833333333333,19.5,22.7,22.125,21.2,23.7
2019-07-18T00:00:00Z,21.45,19.4,22.5,21.7625,20.7,23.6
2019-07-19T00:00:00Z,21.966666666666665,20.5,25.5,22.266666666666666,21.1,24.3
2019-07-20T00:00:00Z,22.370833333333334,18.8,26.7,23.391666666666666,21.1,31.5
2019-07-21T00:00:00Z,23.141666666666666,21,29.7,23.629166666666666,21.7,32.9
2019-07-22T00:00:00Z,23.775,22,33.1,23.933333333333334,22.2,33.5
2019-07-23T00:00:00Z,24.079166666666666,21.6,32.1,24.170833333333334,22.4,32.3
2019-07-24T00:00:00Z,23.508333333333333,18.9,28.6,23.65,21.8,28.4
2019-07-25T00:00:00Z,24.158333333333335,19.6,32.4,23.9375,22,27.2
2019-07-26T00:00:00Z,23.1375,18,30.5,23.479166666666668,19.9,26.5
2019-07-27T00:00:00Z,23.075,18.7,25.3,23.65,21.9,25.4
